time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.85496541728e-07,-4.96306001697e-08,10.0031432888,6.28311108627,0.000414105038351,0.0,-4.02258880402e-05,-5.34043718234e-06,0.104771680908,-0.00383372775373,0.0180043920795,0.0,439.2864588131922,440.77655116431026,436.9443911693588,436.62475380495295
0.12000000000000001,-1.66872426646e-05,-2.91391479505e-06,10.0143527228,6.28297871183,0.0013701046994,0.0,-0.000613744184806,-0.000110132397737,0.268850954525,0.000864982736013,0.0114313662626,0.0,456.4922198536957,455.9674043361318,457.18745068553227,457.56165008453615
0.18,-8.31628372559e-05,-1.32377610292e-05,10.0325711995,3.21834162236e-05,0.00216164393426,0.0,-0.0016743161101,-0.000219205143487,0.3384129056,0.00957682983529,0.0165000412937,0.0,426.8606671392472,427.2928105615274,426.99671801343624,427.73908338028895
0.23999999999999996,-0.000234367475351,-2.34636202839e-05,10.05686922,0.000304082738522,0.00311761577823,0.0,-0.00346977540125,-7.360192186e-05,0.471474712304,-0.00818980085043,0.0147737317454,0.0,448.10883051665564,447.9684039842701,447.5020059814473,446.0536412349261
0.3,-0.000503355034239,-2.38552190928e-05,10.0859845955,6.28310537784,0.00416623478826,0.0,-0.00558519650689,2.07942946283e-05,0.499025635743,-0.00304175297162,0.0223986533706,0.0,413.7494993562886,414.4201088110142,412.7226317249673,413.17677629759436
0.36000000000000004,-0.000929194125186,-2.48860457576e-05,10.1187443155,6.28298319357,0.00581224577402,0.0,-0.00876194307236,-7.04799162348e-05,0.592919744192,-9.77899749961e-05,0.0359675931989,0.0,435.1676945798391,436.3020610953072,434.6152718136932,434.8619516012227
0.4200000000000001,-0.0015898183693,-3.34717006137e-05,10.1581855217,6.28299775002,0.00878676467155,0.0,-0.0135403092277,-0.000215222763564,0.721712218272,0.00091491711519,0.0681518962249,0.0,444.65216406729775,447.28198111404447,446.6512224629385,446.73378888133936
0.48000000000000015,-0.00261820422841,-5.02632831214e-05,10.2064536657,6.28259900999,0.0129259070401,0.0,-0.0211976817974,-0.000355090603139,0.887107073133,-0.0294512991899,0.070602432929,0.0,458.0102008508969,458.20847745653504,458.58835245672014,456.1703030306241
0.5400000000000001,-0.00420189530918,-9.23595617016e-05,10.2647588849,6.28080354148,0.0172482018786,0.0,-0.0320705487393,-0.00124788688396,1.05625170638,-0.0308878599174,0.0747640334373,0.0,459.4523107301858,459.78590600177165,458.7383912339874,458.6240668327316
0.6000000000000002,-0.00657612835801,-0.000234777836014,10.3352813031,6.27899492835,0.022601776966,0.0,-0.0476802206668,-0.00372280195347,1.29424422146,-0.0286952502503,0.108596788893,0.0,479.21284836412354,481.7830021605337,479.1190371456114,479.28546887160746
0.6600000000000003,-0.00999275617908,-0.000563480033495,10.4186155241,6.27705889577,0.0291939759766,0.0,-0.066957019905,-0.00744210738551,1.48331663477,-0.0405882790013,0.112299914682,0.0,465.9416963354858,466.24112271145316,466.4203277232732,465.4903045828588
0.7200000000000003,-0.0146701652691,-0.00115267042774,10.5116324082,6.27441184718,0.0357399905897,0.0,-0.0896627789585,-0.0124668613631,1.61704100664,-0.0523205487505,0.101785833539,0.0,450.22820849116704,449.38710809410105,450.1668451696583,449.21545255915316
0.7800000000000004,-0.0206940030881,-0.00206389719822,10.6084572289,6.27143223691,0.0416547718307,0.0,-0.111651379332,-0.0181706311675,1.61043863462,-0.0448111337357,0.0912474680195,0.0,404.7656996943706,403.8256178498313,404.358421238953,405.0324693222067
0.8400000000000004,-0.0283310164584,-0.00342334127248,10.7093924877,6.26860510526,0.0468553519923,0.0,-0.143487987361,-0.0274397531914,1.7538293304,-0.0521859347694,0.0754655896312,0.0,453.77589871640055,452.5133086552976,453.5877790453331,452.9938816343512
0.9000000000000005,-0.037904900202,-0.0053757753323,10.8171657485,6.26498239828,0.0515070157467,0.0,-0.17609354901,-0.037965834694,1.83844965319,-0.086651473138,0.0813601082955,0.0,434.8383678061223,435.3367466360254,436.98796643558205,434.1024969113616
0.9600000000000005,-0.049806551466,-0.0081415732444,10.9352691041,6.25982113954,0.0559174724213,0.0,-0.221199926638,-0.0548686777431,2.09783987142,-0.0847897053544,0.0491893468903,0.0,490.10006687144767,487.706688751238,487.83487156905954,487.9684811819488
1.0200000000000005,-0.0642048049177,-0.0119178058994,11.0633914225,6.25449816394,0.0589402293653,0.0,-0.259028593995,-0.0715118972284,2.1727293769,-0.0980223440985,0.052658059238,0.0,433.15183136341585,433.44510211605353,434.50786440245037,433.39027079315287
1.0800000000000005,-0.0807989992999,-0.0167336880458,11.1937355505,6.24884250673,0.0622183723126,0.0,-0.294393209807,-0.0895185001344,2.17203779746,-0.0876414327767,0.0583221710584,0.0,408.9756732090652,409.48210739908177,408.29960045521136,409.21621747807325
1.1400000000000006,-0.100034937439,-0.0229862219778,11.3313458441,6.24349935125,0.0653702642742,0.0,-0.347189803486,-0.119533072617,2.41443159325,-0.0920336329321,0.037257691134,0.0,485.6112776867897,484.03016833323545,485.3429891534015,485.0073500894339
1.2000000000000006,-0.12237356296,-0.0310880593515,11.4813909656,6.23826220627,0.0675493700713,0.0,-0.397657213249,-0.151116379051,2.58664501162,-0.0791739652259,0.0343708994444,0.0,466.45221421423383,466.22725662224815,464.10721250022056,465.10938470077474
